Date,Open,High,Low,Close,Adj Close,Volume
16-11-2018,921,928.700012,912.700012,921.349976,900.703979,2769698
19-11-2018,922,927,915.049988,920.549988,899.921875,2104102
20-11-2018,919,925.200012,908.849976,915.450012,894.936157,1540046
21-11-2018,917.5,929.900024,909.549988,926.549988,905.787415,1855760
22-11-2018,929,933.400024,911.799988,915.75,895.229431,1617491
26-11-2018,913.099976,920.5,892.599976,916.400024,895.864929,2116814
27-11-2018,914,918,906,914.299988,893.81189,1126278
28-11-2018,916,931,915,922.950012,902.268127,2434110
29-11-2018,929.049988,933.900024,913,931.400024,910.528748,1991914
30-11-2018,929.950012,931,918,927.099976,906.325073,2738673
03-12-2018,932.549988,939.799988,920.5,936.25,915.270142,2044427
04-12-2018,935,940.150024,921.5,923.799988,903.099121,1424621
05-12-2018,921,925.650024,901.549988,920.25,899.628601,3020688
06-12-2018,913,920,902,905.75,885.453552,1425935
07-12-2018,911,921.450012,893.299988,916.599976,896.060303,2750589
10-12-2018,905,916,898,907.099976,886.773315,1508069
11-12-2018,899,936.950012,894.150024,933.150024,912.239563,2792386
12-12-2018,937.5,938.099976,921,929.950012,909.111267,3256275
13-12-2018,932.099976,961.25,924.25,944.150024,922.993042,4821052
14-12-2018,943.650024,951.700012,928.450012,931.5,910.626526,2558651
17-12-2018,931.75,937.200012,925.400024,935.299988,914.34137,2284630
18-12-2018,932.5,938.75,930.799988,933,912.092896,2222788
19-12-2018,933.099976,941.549988,927.5,929.200012,908.378113,2237859
20-12-2018,928,933,922.200012,926.75,905.98291,1630740
21-12-2018,927.849976,927.849976,897.25,900.049988,879.881226,2972085
24-12-2018,900.099976,902.799988,874,879.849976,860.133911,2554749
26-12-2018,879,900,868.200012,889.150024,869.225586,3840772
27-12-2018,896,897.799988,881.5,887.650024,867.759094,2160188
28-12-2018,904,925.75,898.799988,922.700012,902.023682,8067914
31-12-2018,926,939.5,920.349976,931,910.137817,4917511
01-01-2019,931.75,934.200012,923,928,907.204956,2064502
02-01-2019,923.299988,937,923.299988,932.150024,911.261902,2672587
03-01-2019,936,944.950012,928,931.200012,910.333313,3292918
04-01-2019,934,938.900024,920.200012,928.450012,907.644958,2340304
